ID Number,Type,Principal Address,Principal Mailing Address,Status,Place Of Formation,Formation Date,Registered Agent Name,Registered Agent Street Address,Registered Agent Mailing Address,Incorporators,Incorporators Street Address,Incorporators Mailing Address,Members,Members Street Address,Members Mailing Address
472 - 938,Domestic Limited Liability Company,"HUNTSVILLE, AL ",Not Provided ,Dissolved,Madison County,     12-29-2005,"KENT, MARK T
    ", 1411 MONTERREY DR," Not Provided
    ",,,,"KENT, MARK T
    ,KENT, LARA
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
472 - 933,Domestic Limited Liability Company,"HUNTSVILLE, AL ",Not Provided ,Dissolved,Madison County,     12-30-2005,"FARRELL, SLOAN
    ", 101 MISTY MORN LANE," Not Provided
    ",,,,"FARRELL, SLOAN
    "," Not Provided
    "," Not Provided
    "
116 - 141,Domestic Corporation,"WARRIOR, AL ",Not Provided ,Dissolved,Blount County,     3-16-1987,"FORTNER, JEFFREY LAVON
    ", 435 DECATUR HIGHWAY," Not Provided
    ","BAKER, HAROLD EVERT
    ,FORTNER, JEFFREY LAVON
    "," Not Provided
    , Not Provided
    ",,,,
472 - 992,Domestic Limited Liability Company,"LOWNDESBORO, AL ",Not Provided ,Exists,Lowndes County,     1-5-2006,"GREEN, EVA MARIE
    ", 147 LAKE BERRY RD," Not Provided
    ",,,,"GREEN, EVA MARIE
    ,GREEN, JAMES YANCY
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
472 - 942,Domestic Limited Liability Company,"MADISON, AL ",Not Provided ,Dissolved,Madison County,     12-30-2005,"SHEA, STEFANIE A
    ", 103 THOROUGHBRED TRAIL," Not Provided
    ",,,,"SHEA, STEFANIE A
    "," Not Provided
    "," Not Provided
    "
688 - 232,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Dissolved,Montgomery County,     2-26-2003,"STANLEY, JOHN C
    ", 4747 WOODMERE BLVD," Not Provided
    ",,,,"JOHN STANLEY & ASSOCIATES LLC
    ,CHARLIE WILLIAMSON & ASSOCIATES LLC
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
472 - 979,Domestic Limited Liability Company,"TUSCALOOSA, AL ",Not Provided ,Dissolved,Tuscaloosa County,     12-30-2005,"STAGGS, CLAY
    ", 808 LURLEEN WALLACE BLVD N," Not Provided
    ",,,,"STAGGS, CLAY
    "," Not Provided
    "," Not Provided
    "
215 - 144,Domestic Corporation,"CLANTON, AL ",Not Provided ,Dissolved,Chilton County,     3-5-2001,"CLECKLER, CAROLYN SUE
    ", 313 6TH ST NORTH," Not Provided
    ","CLECKLER, CAROLYN SUE
    "," Not Provided
    ",,,,
609 - 739,Foreign Limited Liability Company,737 MARKET ST  STE 620,Not Provided ,Exists,Tennessee,     10-17-2005,"SCOTT, NATALIE
    ", 1104 CO RD 257," Not Provided
    ",,,,,,
472 - 903,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Exists,Montgomery County,     12-30-2005,"WINTERS, I M JR
    ", 300 WATER STREET STE 300-A," Not Provided
    ",,,,"WINTERS, I M JR
    "," Not Provided
    "," Not Provided
    "
472 - 960,Domestic Limited Liability Company,"TUSCALOOSA, AL ",Not Provided ,Exists,Tuscaloosa County,     12-28-2005,"MCKINNEY, ROBERT EARL JR
    ", 519 QUEEN CITY AVE," Not Provided
    ",,,,"MCKINNEY, ROBERT EARL JR
    "," Not Provided
    "," Not Provided
    "
609 - 777,Foreign Limited Liability Company,20TH FL MONROE ST,Not Provided ,Merged,Delaware,     12-15-2005,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
186 - 204,Domestic Corporation,"IRVINGTON, AL ",Not Provided ,Dissolved,Mobile County,     3-13-1997,"HORN, C ALLEN
    ", 7960 EDGAR ROBERTS RD," Not Provided
    ","HORN, C ALLEN
    "," Not Provided
    ",,,,
212 - 145,Domestic Corporation,"MADISON, AL ",Not Provided ,Dissolved,Madison County,     9-14-2000,"BAUGHN, DAVID L
    ", 101 BARBARA DR," Not Provided
    ","BAUGHN, DAVID LEE
    "," Not Provided
    ",,,,
123 - 584,Domestic Corporation,"MADISON, AL ",Not Provided ,Dissolved,Madison County,     4-21-1988,"CHYNOWETH, GARY L
    ", 105 LYNBROOK BLVD," Not Provided
    ","CHYNOWETH, GARY L
    "," Not Provided
    ",,,,
654 - 601,Domestic Limited Liability Company,1313 FRAZIER STREET,Not Provided ,Dissolved,Limestone County,     9-5-1996,"CHRISTOPHER, JAMES W
    ", 1313 FRAZIER STREET," Not Provided
    ",,,,"CHRISTOPHER, JAMES W
    ,KENNEMER, WILLIAM F JR
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
563 - 019,Domestic Non-Profit Corporation,"TUSCALOOSA, AL ",Not Provided ,Exists,Tuscaloosa County,     1-3-2006,"FOSTER, DONNA
    ", 4106 29TH STREET," Not Provided
    ","FOSTER, DONNA
    "," Not Provided
    ",,,,
213 - 858,Domestic Corporation,"OPELIKA, AL ",Not Provided ,Exists,Lee County,     12-28-2000,"BAKER, WILLIAM O JR
    ", 24887 US HWY 80," Not Provided
    ","BAKER, WILLIAM O JR
    "," Not Provided
    ",,,,
670 - 451,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Dissolved,Montgomery County,     6-8-2000,"HUDSON, ADAMS F
    ", 805 FELDER AVE," Not Provided
    ",,,,"HUDSON, ADAMS F
    "," Not Provided
    "," Not Provided
    "
473 - 002,Domestic Limited Liability Company,"ALEXANDER CITY, AL ",Not Provided ,Exists,Tallapoosa County,     1-5-2006,"MITCHELL, DAVID
    ", 1048 RIDGEWAY DR," Not Provided
    ",,,,"MITCHELL, DAVID
    ,HODNETT, GAINES
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
609 - 778,Foreign Limited Liability Company,20TH FL MONROE ST,Not Provided ,Cancelled,Delaware,     12-15-2005,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
609 - 807,Foreign Limited Liability Company,20TH FL MONROE ST,Not Provided ,Cancelled,Delaware,     12-15-2005,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
687 - 915,Domestic Limited Liability Company,"MOBILE, AL ",Not Provided ,Dissolved,Mobile County,     2-11-2003,"LORD, MICHAEL J
    ", 316 BRANDY RUN," Not Provided
    ",,,,"LORD, MICHAEL J
    "," Not Provided
    "," Not Provided
    "
227 - 403,Domestic Corporation,"MOBILE, AL ",Not Provided ,Dissolved,Mobile County,     2-11-2003,"LORD, MICHAEL J
    ", 316 BRANDY RUN," Not Provided
    ","LORD, MICHAEL J
    "," Not Provided
    ",,,,
932 - 267,Foreign Corporation,"1525 WILSON BOULEVARD, SUITE 900","2677 PROSPERITY AVENUE, SUITE 700",Withdrawn,California,     9-11-1991,"CSC-LAWYERS INCORPORATING SVC INC
    ", 150 SOUTH PERRY STREET, 150 SOUTH PERRY STREET,,,,,,
602 - 922,Foreign Limited Liability Company,1480 FORD ST,Not Provided ,Cancelled,Delaware,     4-20-2000,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
472 - 929,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Exists,Montgomery County,     1-4-2006,"SWEET, BRIAN PAUL
    ", 1510 FOREST AVE," Not Provided
    ",,,,"SWEET, BRIAN PAUL
    "," Not Provided
    "," Not Provided
    "
472 - 917,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Dissolved,Montgomery County,     1-3-2006,"KIRBY, NANCY M
    ", 547 SOUTH LAWRENCE STREET," Not Provided
    ",,,,"SPENCER, GENE
    ,KIRBY, NANCY M
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
